#SPIKE measurement file - Tool Measurement /  Analyser 2016 (SPIKE@pro-micron GmbH)
#date: 14.06.2024 operator: 
#process: 
#tool: 
#material: 
#tool gage: 30.6
#d = 8          z = 
#ap =           ae = 
#vc =           n = 
#f =           vf = 
#X = 
#cooling: 
#unit type: 
#note: 8mm good with minimum rpm
#BTKaBlue Version: 
#READ Version: READ 1.2 SW-Version: 0x0002
SPIKE Version: SPIKE 1.2
#SW-Version: 0x0006
#SN-Nr.: 0xA408
#cal tension: 2,842223
#cal torsion: 0,024086
#cal bending moment X: 0,023242
#cal bending moment Y: 0,023070
#lever arm: 48.2
#SPIKE position: 
#autoBM: 
#triggerchannel:  triggervalue: 
###
Tension;Torsion;Bending moment X;Bending moment Y;Time;Temperature
[N];[Nm];[Nm];[Nm];[s];[°C]
-113.688919;-0.385376;-0.697260;0.830520;0.060400;26.125000
-51.160011;0.481720;-0.976164;0.645960;0.060800;26.125000
56.844460;0.289032;0.325388;0.000000;0.061200;26.125000
-96.635582;-0.289032;-0.604292;0.599820;0.061600;26.125000
-39.791122;-0.481720;-0.511324;0.784380;0.062000;26.125000
22.737783;0.192688;0.000000;0.738240;0.062400;26.125000
51.160011;0.385376;-0.092968;0.230700;0.062800;26.125000
-73.897797;-0.674408;-0.604292;0.322980;0.063200;26.125000
-73.897797;-0.626236;-0.743744;0.415260;0.063600;26.125000
-45.475567;-0.626236;-0.046484;-0.461400;0.064000;26.125000
-79.582245;-0.289032;0.464840;0.738240;0.064400;26.125000
-79.582245;-0.289032;0.464840;0.738240;0.064800;26.125000
-79.582245;-0.289032;0.464840;0.738240;0.065200;26.125000
-79.582245;-0.289032;0.464840;0.738240;0.065600;26.125000
-79.582245;-0.289032;0.464840;0.738240;0.066000;26.125000
-79.582245;-0.289032;0.464840;0.738240;0.066400;26.125000
-79.582245;-0.289032;0.464840;0.738240;0.066800;26.125000
-79.582245;-0.289032;0.464840;0.738240;0.067200;26.125000
-79.582245;-0.289032;0.464840;0.738240;0.067600;26.125000
-79.582245;-0.289032;0.464840;0.738240;0.068000;26.125000
-79.582245;-0.289032;0.464840;0.738240;0.068400;26.125000
